beta,mix_ratio,cases
2.756423650213312149e-01,5.512847300426624297e-01,7.220000000000000000e+02
3.071593987549298133e-01,6.143187975098596265e-01,3.570000000000000000e+02
1.196002673749625989e-01,2.392005347499251977e-01,2.530000000000000000e+02
3.550042008872849042e-01,7.100084017745698084e-01,5.020000000000000000e+02
3.134193737584271555e-01,6.268387475168543110e-01,5.550000000000000000e+02
1.257513122097686509e-02,2.515026244195373017e-02,1.800000000000000000e+01
1.332375010090276479e-01,2.664750020180552958e-01,3.650000000000000000e+02
3.331352715069231252e-01,6.662705430138462503e-01,7.230000000000000000e+02
4.933923370154161270e-01,9.867846740308322540e-01,9.000000000000000000e+02
3.860837610434888489e-01,7.721675220869776979e-01,4.690000000000000000e+02
1.881528893985944251e-01,3.763057787971888501e-01,4.490000000000000000e+02
4.888681624809892989e-01,9.777363249619785979e-01,4.250000000000000000e+02
1.347028923198728689e-02,2.694057846397457379e-02,1.650000000000000000e+02
3.480522160839278900e-01,6.961044321678557800e-01,4.440000000000000000e+02
3.381081766800149158e-01,6.762163533600298315e-01,4.080000000000000000e+02
2.340348967704722893e-01,4.680697935409445787e-01,3.000000000000000000e+02
7.565137628634976963e-02,1.513027525726995393e-01,5.470000000000000000e+02
2.241632077635150599e-01,4.483264155270301199e-01,6.820000000000000000e+02
1.608662649077233220e-01,3.217325298154466440e-01,1.520000000000000000e+02
1.042891843275112196e-02,2.085783686550224392e-02,2.010000000000000000e+02
2.988356143231345463e-01,5.976712286462690926e-01,2.500000000000000000e+02
3.530381141253858268e-01,7.060762282507716536e-01,9.300000000000000000e+02
1.033001856338853219e-01,2.066003712677706439e-01,6.810000000000000000e+02
3.517690142951681587e-01,7.035380285903363173e-01,4.480000000000000000e+02
2.156557483058731406e-01,4.313114966117462812e-01,3.320000000000000000e+02
3.908157535424393036e-01,7.816315070848786073e-01,4.980000000000000000e+02
1.734319854771220748e-01,3.468639709542441496e-01,4.920000000000000000e+02
2.607026092969079722e-01,5.214052185938159445e-01,3.370000000000000000e+02
2.070938708780928339e-01,4.141877417561856678e-01,1.100000000000000000e+01
6.594826414101240264e-02,1.318965282820248053e-01,1.120000000000000000e+02
4.507258256451525114e-01,9.014516512903050227e-01,5.010000000000000000e+02
1.484065630516639978e-02,2.968131261033279955e-02,2.080000000000000000e+02
1.207043212731291892e-01,2.414086425462583785e-01,6.300000000000000000e+01
4.983441705717517323e-01,9.966883411435034645e-01,5.630000000000000000e+02
4.727087925896005793e-01,9.454175851792011587e-01,6.010000000000000000e+02
4.134146147844725006e-02,8.268292295689450011e-02,2.500000000000000000e+01
2.070847332262265583e-01,4.141694664524531166e-01,3.630000000000000000e+02
4.484383358745159254e-01,8.968766717490318507e-01,2.520000000000000000e+02
4.182639105523082712e-01,8.365278211046165424e-01,9.270000000000000000e+02
2.938795185962006506e-02,5.877590371924013013e-02,1.330000000000000000e+02
2.113876300229737271e-01,4.227752600459474541e-01,3.600000000000000000e+02
2.796442571102705221e-01,5.592885142205410443e-01,2.660000000000000000e+02
3.277190287730268325e-01,6.554380575460536651e-01,4.650000000000000000e+02
2.682994359652826621e-01,5.365988719305653243e-01,7.630000000000000000e+02
2.079058327815633822e-01,4.158116655631267644e-01,2.180000000000000000e+02
7.813916614306726238e-02,1.562783322861345248e-01,4.880000000000000000e+02
3.937907482363428024e-01,7.875814964726856049e-01,4.200000000000000000e+02
1.923776070714446895e-01,3.847552141428893790e-01,4.990000000000000000e+02
4.323544139080799931e-01,8.647088278161599861e-01,1.293000000000000000e+03
1.213275127335244896e-02,2.426550254670489792e-02,5.470000000000000000e+02
2.117289631421362950e-01,4.234579262842725900e-01,1.104000000000000000e+03
3.892756636401509818e-01,7.785513272803019635e-01,4.430000000000000000e+02
7.871239170961269460e-02,1.574247834192253892e-01,1.450000000000000000e+02
2.753917081340858108e-01,5.507834162681716217e-01,3.980000000000000000e+02
3.206905336154737274e-01,6.413810672309474548e-01,4.930000000000000000e+02
1.613737527634693247e-01,3.227475055269386495e-01,6.970000000000000000e+02
2.485540954486559762e-01,4.971081908973119523e-01,6.840000000000000000e+02
3.095571535442958599e-01,6.191143070885917199e-01,4.220000000000000000e+02
4.561618943097072720e-01,9.123237886194145441e-01,6.360000000000000000e+02
4.209816230054294062e-01,8.419632460108588123e-01,3.230000000000000000e+02
2.595317384158303264e-01,5.190634768316606529e-01,5.400000000000000000e+02
4.505288587842759540e-01,9.010577175685519080e-01,6.530000000000000000e+02
4.864106979363562178e-01,9.728213958727124355e-01,1.355000000000000000e+03
1.157084221114865752e-01,2.314168442229731504e-01,3.440000000000000000e+02
1.211326644793651597e-01,2.422653289587303194e-01,1.790000000000000000e+02
1.798128357914082209e-01,3.596256715828164419e-01,2.220000000000000000e+02
3.848747911316242054e-01,7.697495822632484108e-01,7.180000000000000000e+02
3.790120006751518389e-01,7.580240013503036778e-01,5.810000000000000000e+02
4.458861077512228932e-01,8.917722155024457864e-01,5.580000000000000000e+02
4.779669530101994246e-01,9.559339060203988492e-01,6.650000000000000000e+02
1.894374069246673176e-01,3.788748138493346351e-01,6.790000000000000000e+02
3.458204538726253885e-01,6.916409077452507770e-01,2.940000000000000000e+02
5.160051175893126674e-02,1.032010235178625335e-01,1.030000000000000000e+02
4.753025248426678839e-01,9.506050496853357679e-01,5.170000000000000000e+02
1.739060536656789613e-01,3.478121073313579226e-01,5.040000000000000000e+02
4.717323195547262205e-01,9.434646391094524409e-01,4.590000000000000000e+02
4.574990430167827915e-01,9.149980860335655830e-01,5.690000000000000000e+02
3.217455311222094938e-02,6.434910622444189876e-02,3.170000000000000000e+02
3.018673010648065258e-01,6.037346021296130516e-01,9.130000000000000000e+02
4.980090701244707097e-01,9.960181402489414193e-01,7.800000000000000000e+02
1.240316866145124153e-01,2.480633732290248306e-01,2.110000000000000000e+02
2.880546808806348502e-01,5.761093617612697004e-01,5.250000000000000000e+02
3.680644703418803343e-01,7.361289406837606686e-01,3.130000000000000000e+02
2.341655625714561539e-01,4.683311251429123079e-01,5.160000000000000000e+02
3.884249685222733173e-01,7.768499370445466345e-01,4.380000000000000000e+02
3.248444803516433166e-01,6.496889607032866332e-01,8.960000000000000000e+02
1.743730464592979645e-01,3.487460929185959291e-01,5.640000000000000000e+02
1.625842934703023990e-01,3.251685869406047980e-01,6.630000000000000000e+02
8.427607703398021233e-02,1.685521540679604247e-01,7.100000000000000000e+01
3.493217157917966054e-01,6.986434315835932107e-01,7.070000000000000000e+02
8.412078718180060477e-03,1.682415743636012095e-02,1.090000000000000000e+02
3.133607220845324171e-01,6.267214441690648341e-01,4.260000000000000000e+02
1.524639950746776162e-01,3.049279901493552325e-01,5.440000000000000000e+02
3.783345679666795802e-01,7.566691359333591604e-01,1.980000000000000000e+02
4.848087201759081477e-01,9.696174403518162954e-01,3.890000000000000000e+02
1.147509766886500304e-01,2.295019533773000608e-01,5.160000000000000000e+02
3.295099493564969118e-01,6.590198987129938235e-01,4.100000000000000000e+02
3.374422894300062037e-01,6.748845788600124074e-01,9.980000000000000000e+02
2.548309249144700139e-01,5.096618498289400279e-01,3.440000000000000000e+02
1.082770894561413400e-02,2.165541789122826799e-02,2.740000000000000000e+02
1.726568920843128407e-01,3.453137841686256815e-01,5.500000000000000000e+02
4.209312113876066963e-01,8.418624227752133926e-01,3.410000000000000000e+02
2.656759621556263329e-01,5.313519243112526658e-01,1.310000000000000000e+02
4.714852594052278967e-01,9.429705188104557934e-01,6.410000000000000000e+02
1.410917649784216854e-01,2.821835299568433708e-01,1.170000000000000000e+02
